iter,learning_rate,min_data_in_leaf,max_depth,lambda_l2,max_bin,bagging_fraction,feature_fraction,num_leaves,val_score,test_score,test_log_loss,test_f1_score,test_rmse,current_best_test_score,current_best_test_log_loss,current_best_test_f1_score,current_best_test_rmse,try_num_leaves,joint_tuning_depth_leaves,fold,method,task_id,classification
33,0.7573544670637109,1,9,0.0,10000,0.5,1.0,892,0.2131241482536831,0.8502358423217478,,,0.20451714985456076,0.8515230993643395,,,0.20363631729082743,False,True,4,gp_bo,361102,0
34,0.9466514832531043,943,9,87.99951014860787,6692,0.8356098727675483,0.8947847473900012,471,0.26253751259111513,0.7405891407635296,,,0.26916579121738826,0.8515230993643395,,,0.20363631729082743,False,True,4,gp_bo,361102,0
35,0.7215103482360952,1,9,0.0,255,1.0,1.0,849,0.21224219522979074,0.8485436602559248,,,0.20566932189055498,0.8515230993643395,,,0.20363631729082743,False,True,4,gp_bo,361102,0
36,0.7797963985990171,1,9,0.0,255,1.0,1.0,881,0.20815012543466418,0.8497364542475047,,,0.2048578469477885,0.8515230993643395,,,0.20363631729082743,False,True,4,gp_bo,361102,0
37,0.774474617983942,1,8,0.0,10000,0.5,1.0,867,0.21511627452767426,0.8522308031721022,,,0.20315042913468215,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
38,0.7589018701927673,1,9,0.0,255,1.0,1.0,910,0.2077862147913238,0.8515055562612367,,,0.2036483471331031,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
39,0.9986727374987109,46,7,90.84560848144537,1210,0.8622417385763996,0.9461748609925,496,0.24454902713323873,0.7841222660843272,,,0.24554421857068118,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
40,0.741812793644027,1,8,100.0,10000,0.5,1.0,530,0.23518340904505006,0.7982469779946181,,,0.23737545597260296,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
41,0.6851571653168614,806,6,4.400381371847429,1504,0.530907651882836,0.9465816065277252,962,0.2604463174520006,0.7523617433722285,,,0.262987227501907,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
42,0.9789224421493207,786,7,3.3953318920813556,298,0.511855314235297,0.9126229088998776,979,0.26890622578621565,0.7375379609413404,,,0.27074412218361177,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
43,0.8514904874035505,1,10,0.0,255,1.0,1.0,1024,0.2122618377146565,0.843392041822397,,,0.20913788000890818,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
44,0.7562932564699969,1,7,0.0,255,1.0,1.0,824,0.21362026284773938,0.840961991591349,,,0.21075420666868785,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
45,0.7075467199851784,3,8,38.457061950450644,4509,0.8132625119585822,0.5599652096605949,726,0.24121390019331804,0.7815211268116566,,,0.24701908648235357,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
46,0.8278689783565151,136,9,0.9051785349548094,1783,0.7023303256907931,0.9768358941640871,524,0.21792620727336928,0.8316352353033536,,,0.21684598805602437,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
47,0.8369268185933969,1,9,0.0,255,0.5,1.0,697,0.2122149633417239,0.844607009649448,,,0.20832505242436383,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
48,0.7637155620557132,336,9,0.0,255,1.0,1.0,691,0.23593791894005595,0.8128702891516258,,,0.2286110197719522,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
49,0.6563674786870485,1,10,0.0,255,0.9402154934034894,1.0,545,0.20854469337944984,0.8484658609178608,,,0.20572213870508171,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
50,1.0,1000,6,0.0,255,1.0,1.0,279,0.2696361941054532,0.7460896727817847,,,0.2662968138261421,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
51,0.7276540466764964,1,8,0.0,255,1.0,1.0,519,0.20848077968994755,0.8507633523647279,,,0.204156649652784,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
52,0.6914833754336375,991,8,7.734904654986045,4675,0.5755841908442663,0.6662737616774832,298,0.27003200531665345,0.7282024367989739,,,0.2755171053800121,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
53,0.710478350860085,1,10,0.0,10000,0.5,1.0,546,0.21127613809045456,0.8465827627307407,,,0.20699643531070078,0.8522308031721022,,,0.20315042913468215,False,True,4,gp_bo,361102,0
54,0.8143868386191551,1,8,0.0,255,1.0,1.0,1024,0.20849702731350475,0.8528076918853779,,,0.20275349324389744,0.8528076918853779,,,0.20275349324389744,False,True,4,gp_bo,361102,0
55,0.7319529659839309,1,10,0.0,255,1.0,1.0,612,0.2104520676573855,0.8531480897127336,,,0.2025189130614294,0.8531480897127336,,,0.2025189130614294,False,True,4,gp_bo,361102,0
56,0.5833071709519458,1000,1,0.0,255,1.0,0.5,1024,0.37026963126586054,0.47278255125180446,,,0.3837255129090229,0.8531480897127336,,,0.2025189130614294,False,True,4,gp_bo,361102,0
57,0.5635193224001069,1,10,0.0,2805,1.0,1.0,695,0.2233383790056106,0.8280538445365992,,,0.21914018432650234,0.8531480897127336,,,0.2025189130614294,False,True,4,gp_bo,361102,0
58,0.9956622503335577,977,1,29.118018852497467,4801,0.8561466701208624,0.9911990954347811,405,0.3482986714988488,0.5351340922027925,,,0.36032105154196997,0.8531480897127336,,,0.2025189130614294,False,True,4,gp_bo,361102,0
59,0.7379815772306925,1,7,0.0,255,0.9997498756865515,0.5,1024,0.2305655086619438,0.8022584339473947,,,0.2350037391099522,0.8531480897127336,,,0.2025189130614294,False,True,4,gp_bo,361102,0
60,0.7278336436544419,1,9,0.0,255,1.0,1.0,571,0.21263614256407287,0.8500299577963186,,,0.20465767898908066,0.8531480897127336,,,0.2025189130614294,False,True,4,gp_bo,361102,0
61,0.6118813927891775,1,7,0.0,255,0.6319139783786193,1.0,490,0.2194894077053196,0.8242154311220441,,,0.22157265504289056,0.8531480897127336,,,0.2025189130614294,False,True,4,gp_bo,361102,0
62,0.834117940558878,1,7,0.0,255,1.0,1.0,489,0.21500201935956884,0.8467126892918277,,,0.2069087657893939,0.8531480897127336,,,0.2025189130614294,False,True,4,gp_bo,361102,0
63,0.7071037077770757,1,8,0.0,255,0.5194808619410691,1.0,1024,0.20966523172900162,0.8493720442797132,,,0.20510610089161613,0.8531480897127336,,,0.2025189130614294,False,True,4,gp_bo,361102,0
64,0.8594337337733507,1,10,0.0,255,0.6711334516586951,1.0,854,0.21585865993293407,0.8434458209241558,,,0.2091019679990645,0.8531480897127336,,,0.2025189130614294,False,True,4,gp_bo,361102,0
65,0.7530516014194797,1,9,0.0,255,1.0,1.0,1024,0.2105983341210639,0.8515626869244094,,,0.20360916827867115,0.8531480897127336,,,0.2025189130614294,False,True,4,gp_bo,361102,0
66,0.7263228783925916,1,9,0.0,255,0.5,1.0,483,0.2121753926752359,0.8496467275872764,,,0.20491900105928132,0.8531480897127336,,,0.2025189130614294,False,True,4,gp_bo,361102,0
67,0.7614225855960238,1,8,0.0,255,0.5,1.0,588,0.20842784208989137,0.8521162742575369,,,0.20322914003038275,0.8531480897127336,,,0.2025189130614294,False,True,4,gp_bo,361102,0
68,0.7833485149478012,1,8,0.0,255,0.5,1.0,1024,0.20964150279967933,0.8531514318020974,,,0.20251660856244488,0.8531514318020974,,,0.20251660856244488,False,True,4,gp_bo,361102,0
69,0.9822851064118966,17,7,21.45975997804627,2697,0.7116177454085211,0.5486742597179666,1018,0.2419023482393119,0.7849415124743044,,,0.24507786100927587,0.8531514318020974,,,0.20251660856244488,False,True,4,gp_bo,361102,0
70,0.7528231685702802,1,9,0.0,255,1.0,1.0,1024,0.20950906445496725,0.8514743574242254,,,0.20366973937425656,0.8531514318020974,,,0.20251660856244488,False,True,4,gp_bo,361102,0
71,0.8193369864864878,997,5,96.32432126157369,298,0.6465809287064014,0.55266442404687,235,0.2680054127714079,0.7322935348239277,,,0.2734357010620068,0.8531514318020974,,,0.20251660856244488,False,True,4,gp_bo,361102,0
72,0.7593635178516678,1,8,0.0,255,0.5,1.0,584,0.2087035377654917,0.8521102839818564,,,0.20323325605545933,0.8531514318020974,,,0.20251660856244488,False,True,4,gp_bo,361102,0
73,0.7565178697828621,1,8,0.0,255,1.0,1.0,588,0.20812160054663487,0.851767466333001,,,0.20346867343141756,0.8531514318020974,,,0.20251660856244488,False,True,4,gp_bo,361102,0
74,0.8868791610107223,1,8,0.0,255,1.0,1.0,935,0.2148266953773358,0.8441791731240812,,,0.20861164129147683,0.8531514318020974,,,0.20251660856244488,False,True,4,gp_bo,361102,0
75,0.7557192127590513,1,8,0.0,255,1.0,1.0,1024,0.20769489482127618,0.8516923013727938,,,0.2035202537967099,0.8531514318020974,,,0.20251660856244488,False,True,4,gp_bo,361102,0
76,0.7424770579827316,1,8,0.0,255,0.5,1.0,563,0.20793320972121232,0.851721950785034,,,0.2034999090756352,0.8531514318020974,,,0.20251660856244488,False,True,4,gp_bo,361102,0
77,0.7562530212771831,1,7,0.0,255,1.0,1.0,1024,0.21362018101296196,0.8409603760567195,,,0.21075527710417033,0.8531514318020974,,,0.20251660856244488,False,True,4,gp_bo,361102,0
78,0.0368743476469402,15,1,10.890598729573789,4892,0.7362562081654763,0.737131348424465,997,0.5035339496720594,0.044887407938891344,,,0.5164794819057742,0.8531514318020974,,,0.20251660856244488,False,True,4,gp_bo,361102,0
79,0.7597040274313052,1,7,0.0,255,0.5,1.0,585,0.21368576381573187,0.8405656793127346,,,0.21101663610634103,0.8531514318020974,,,0.20251660856244488,False,True,4,gp_bo,361102,0
80,0.720597506860361,1,9,0.0,255,1.0,1.0,559,0.21180142322186934,0.8487172020556737,,,0.2055514580414157,0.8531514318020974,,,0.20251660856244488,False,True,4,gp_bo,361102,0
81,0.7264687416806612,1,9,0.0,255,1.0,1.0,1024,0.21262818507564046,0.8492498334256886,,,0.2051892896641815,0.8531514318020974,,,0.20251660856244488,False,True,4,gp_bo,361102,0
82,0.8270414477159935,1,8,0.0,255,1.0,1.0,527,0.20761660693165127,0.8544819635063258,,,0.20159706298597949,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
83,0.7800676610870269,1,8,0.0,255,0.6647464384836088,1.0,909,0.20953650283337744,0.8530054597974196,,,0.20261723743823173,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
84,0.8486464759391152,1,8,0.0,255,1.0,1.0,613,0.21205927049207587,0.8451980371931807,,,0.20792849932922136,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
85,0.7644069414965093,1,8,0.0,255,1.0,1.0,512,0.20925398796602548,0.8521603075523184,,,0.2031988814105475,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
86,0.7796293782893665,1,8,0.0,255,0.5,1.0,522,0.20862938414767626,0.8530058777711749,,,0.20261694937056704,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
87,0.7809080865441529,1,10,0.0,255,0.8267405057883879,1.0,539,0.21015684887409194,0.8490591675899372,,,0.20531900834289815,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
88,0.7680779644694662,1,8,0.0,255,1.0,1.0,957,0.20860538794431618,0.852986993247787,,,0.20262996418223378,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
89,0.7730592590351131,1,8,0.0,255,0.5,1.0,952,0.20887849705548986,0.8528186529721881,,,0.2027459438004353,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
90,0.7644104388544605,1,8,0.0,255,1.0,1.0,937,0.20868331293588904,0.8520901606187401,,,0.20324708256620597,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
91,0.8040578795932177,1,8,0.0,255,0.5,1.0,505,0.21123339181868184,0.852803474721773,,,0.20275639773849743,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
92,0.7844988704475289,1,8,0.0,255,0.5,1.0,1024,0.20982362169346272,0.853135097736412,,,0.2025278712790203,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
93,0.7514422725686307,1,8,0.0,255,1.0,1.0,549,0.2079694709989029,0.8513344350183156,,,0.2037656529512005,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
94,0.7931369791245867,1,8,0.0,255,1.0,1.0,951,0.2110188215066126,0.8525961381604588,,,0.20289914574487608,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
95,0.7526023390076264,1,8,0.0,255,1.0,1.0,512,0.2084493231707463,0.8516928959848652,,,0.20351984580804147,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
96,0.7812468194929777,1,8,0.0,255,1.0,1.0,541,0.20835106313944604,0.8530597933447048,,,0.20257978730324935,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
97,0.7884794345571617,1,8,0.0,255,1.0,1.0,828,0.20976561407519395,0.8532382455188406,,,0.2024567379798256,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
98,0.7676728527540623,1,8,0.0,255,0.5,1.0,944,0.2082962780383597,0.8530577081947489,,,0.20258122464890727,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
99,0.7423495043654674,1,8,0.0,255,1.0,1.0,545,0.20794809653026422,0.8516307252003468,,,0.20356249940443563,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
100,0.7194151928730265,1,10,0.0,255,1.0,1.0,505,0.21042907075490846,0.852701821036651,,,0.20282639727731705,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
101,0.7464642464939688,1,8,0.0,255,1.0,1.0,555,0.20763923234401913,0.8519567512722774,,,0.2033387226799501,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
102,0.777505287431272,1,8,0.0,255,1.0,1.0,934,0.20955388701664823,0.8538315696541885,,,0.20204708042848746,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
103,0.7643379550676308,1,8,0.0,255,1.0,1.0,1024,0.20865724911377578,0.8520723993947849,,,0.2032592852993113,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
104,0.7333976160474662,1,8,0.0,255,1.0,1.0,559,0.2084253533671114,0.851359502886355,,,0.2037484728266593,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
105,0.767647549940911,1,8,0.0,255,1.0,1.0,557,0.20829609006069522,0.8529709380734469,,,0.20264102840932743,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
106,0.7883129247864058,1,9,0.0,255,0.5,1.0,927,0.20946866552632715,0.8524530908287702,,,0.20299757309562777,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
107,0.7803087584753416,1,8,0.0,255,0.8303927327920919,1.0,857,0.20871441706794824,0.8530617602729821,,,0.20257843144138357,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
108,0.7219444098785311,1,8,0.0,255,0.7786964917515526,1.0,564,0.20879330077758387,0.8496838545034889,,,0.2048936990482828,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
109,0.7333133441518085,1,8,0.0,255,1.0,1.0,554,0.20776989908769986,0.8512889415196608,,,0.20379682796938137,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
110,0.7261789011082657,1,8,0.0,255,1.0,1.0,561,0.2082907018709129,0.8505229774135681,,,0.20432100070353537,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
111,0.7642851861317296,1,8,0.0,255,1.0,1.0,564,0.20879481325505167,0.8520888059850997,,,0.20324801328422348,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
112,0.7929986024904503,1,9,0.0,255,0.7140988321734518,1.0,873,0.20878959150564666,0.8521457177024016,,,0.20320890770319844,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
113,0.7209677283546639,1,8,0.0,255,0.9877568827532341,1.0,591,0.20869280101274007,0.8496549032963346,,,0.20491342957792286,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
114,0.7995810518013001,1,9,0.0,255,1.0,1.0,873,0.20961755430055345,0.8469001477825774,,,0.2067822104002087,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
115,0.726891875883688,1,8,0.0,255,1.0,1.0,547,0.20903202892921305,0.850904975670586,,,0.2040597558839561,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
116,0.7800632213688212,1,8,0.0,255,1.0,1.0,857,0.20829492085857143,0.8530216113970821,,,0.2026061054519638,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
117,0.7375961026003535,1,8,0.0,255,1.0,1.0,545,0.20773433150101347,0.8521861010474847,,,0.20318115464885647,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
118,0.692564559131633,1,10,0.0,255,0.5,1.0,555,0.20965697152432383,0.8508107198233046,,,0.204124247594505,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
119,0.7298669653686861,1,8,0.0,255,1.0,1.0,554,0.20829821962353526,0.8508448159679083,,,0.20410092069207506,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
120,0.7347552221056513,1,8,0.0,255,1.0,1.0,548,0.20820594509782375,0.8517795532143619,,,0.20346037784410456,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
121,0.7338625910149555,1,8,0.0,255,1.0,1.0,550,0.20780058202307117,0.8515328775884632,,,0.20362961175506286,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
122,0.8086920748607971,1,8,0.0,255,1.0,1.0,867,0.21197855304396626,0.8528178829954022,,,0.20274647413076977,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
123,0.7494674585051804,1,8,0.0,255,1.0,1.0,552,0.2088405294382114,0.8519555451502955,,,0.2033395509879134,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
124,0.7312146163269433,1,8,0.0,255,1.0,1.0,542,0.2080391994766603,0.8513706573309044,,,0.2037408277241282,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
125,0.7326525764274391,1,8,0.0,255,1.0,1.0,543,0.20806398760058273,0.8515206998759297,,,0.2036379627353611,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
126,0.734757728786185,1,8,0.0,255,1.0,1.0,547,0.20758741299785288,0.8517796824299053,,,0.2034602891577944,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
127,0.726669048461767,1,8,0.0,255,1.0,1.0,561,0.20852439130181555,0.8505530705549696,,,0.20430043242435525,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
128,0.8143591046247365,1,9,0.0,255,1.0,1.0,1024,0.2100064625972576,0.84591908171186,,,0.20744368410891167,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
129,0.7544161896538275,1,8,0.0,255,1.0,1.0,1024,0.20832752952706277,0.8518269304885118,,,0.20342785814551465,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
130,0.7495349509032516,1,8,0.0,255,0.937513113669916,1.0,1024,0.20833194440632305,0.8519649813145468,,,0.20333307058316125,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
131,0.7313196967928517,1,8,0.0,255,1.0,1.0,549,0.20850370798169443,0.851376567158416,,,0.20373677709355723,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
132,0.7534308211472629,1,8,0.0,255,0.7298029891476983,1.0,911,0.20806018544175783,0.8517236877352039,,,0.20349871715869713,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
133,0.7348546072595679,1,8,0.0,255,1.0,1.0,543,0.20818140441744348,0.8517543239436194,,,0.2034776930615845,0.8544819635063258,,,0.20159706298597949,False,True,4,gp_bo,361102,0
